Model_Title,Model_Name,Model_Description,Model_Type,Model_Download_link_Type,Model_Download_link,VAE_Download_link_Type,VAE_Download_link
copeseethemaldchinai_10000.ckpt (samdoesart) [32186669],copeseethemaldchinai_10000.ckpt (samdoesart) [32186669] (torrent),"Yet another samdoesart dreambooth model.

100 images
No class images.
1e-6 learning rate.
Sample guidance scale set to 9.5
based on ""chinai (anything)""

Use copeseethemald style in prompt",Dreambooth,torrent,magnet:?xt=urn:btih:4f1365b3dd30541d2c1becfd5d54160928916ba4&dn=copeseethemaldchinai_10000.ckpt&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2fopentracker.i2p.rocks%3a6969%2fannounce&tr=https%3a%2f%2fopentracker.i2p.rocks%3a443%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.pomf.se%3a80%2fannounce&tr=udp%3a%2f%2ftracker.dler.org%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.altrosky.nl%3a6969%2fannounce&tr=udp%3a%2f%2fp4p.arenabg.com%3a1337%2fannounce&tr=udp%3a%2f%2fopen.demonii.com%3a1337%2fannounce&tr=udp%3a%2f%2fmovies.zsw.ca%3a6969%2fannounce&tr=udp%3a%2f%2fipv4.tracker.harry.lu%3a80%2fannounce&tr=udp%3a%2f%2ffe.dealclub.de%3a6969%2fannounce&tr=udp%3a%2f%2fexplodie.org%3a6969%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fbt1.archive.org%3a6969%2fannounce&tr=udp%3a%2f%2f6ahddutb1ucc3cp.ru%3a6969%2fannounce&tr=https%3a%2f%2ftracker.nanoha.org%3a443%2fannounce,,
copeseethemaldchinai_10000.ckpt (samdoesart) [32186669],copeseethemaldchinai_10000.ckpt (samdoesart) [32186669] (mega),"Yet another samdoesart dreambooth model.

100 images
No class images.
1e-6 learning rate.
Sample guidance scale set to 9.5
based on ""chinai (anything)""

Use copeseethemald style in prompt",Dreambooth,mega,https://mega.nz/file/xT9jVToK#Sj1S76kl-PC-zCRwJ2FWen6DS0NHY0IXFFAkXhm03eo,,
CopeSeetheMald-berry200_20400.ckpt (samdoesart) [fa49a214],CopeSeetheMald-berry200_20400.ckpt (samdoesart) [fa49a214] (torrent),"Another samdoesart dreambooth model.

204 images @ 20.4k steps
1e-6 learning rate
based on ""berry mix""

Use copeseethemald style in prompt",Dreambooth,torrent,magnet:?xt=urn:btih:e4f1f4b9d7d6cf8570914fe22318b44c18d6d602&dn=CopeSeetheMald-berry200_20400.ckpt&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2fopentracker.i2p.rocks%3a6969%2fannounce&tr=https%3a%2f%2fopentracker.i2p.rocks%3a443%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.pomf.se%3a80%2fannounce&tr=udp%3a%2f%2ftracker.dler.org%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.altrosky.nl%3a6969%2fannounce&tr=udp%3a%2f%2fp4p.arenabg.com%3a1337%2fannounce&tr=udp%3a%2f%2fopen.demonii.com%3a1337%2fannounce&tr=udp%3a%2f%2fmovies.zsw.ca%3a6969%2fannounce&tr=udp%3a%2f%2fipv4.tracker.harry.lu%3a80%2fannounce&tr=udp%3a%2f%2ffe.dealclub.de%3a6969%2fannounce&tr=udp%3a%2f%2fexplodie.org%3a6969%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fbt1.archive.org%3a6969%2fannounce&tr=udp%3a%2f%2f6ahddutb1ucc3cp.ru%3a6969%2fannounce&tr=https%3a%2f%2ftracker.nanoha.org%3a443%2fannounce,,
CopeSeetheMald-berry200_20400.ckpt (samdoesart) [fa49a214],CopeSeetheMald-berry200_20400.ckpt (samdoesart) [fa49a214] (mega),"Another samdoesart dreambooth model.

204 images @ 20.4k steps
1e-6 learning rate
based on ""berry mix""

Use copeseethemald style in prompt",Dreambooth,mega,https://mega.nz/folder/1a1xkQQK#4atlB1cJqI35InXxlxyA7A,,
CopeSeetheMald-200_20400.ckpt (samdoesart) [95f071f9],CopeSeetheMald-200_20400.ckpt (samdoesart) [95f071f9] (torrent),"Another samdoesart dreambooth model.

204 images @ 20.4k steps
1e-6 learning rate
based on ""blossom mix""

Use copeseethemald style in prompt",Dreambooth,torrent,magnet:?xt=urn:btih:9b92aeea5d136ddae25c0d6165405e6e4d144ff1&dn=CopeSeetheMald-200_20400.ckpt&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2fopentracker.i2p.rocks%3a6969%2fannounce&tr=https%3a%2f%2fopentracker.i2p.rocks%3a443%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.pomf.se%3a80%2fannounce&tr=udp%3a%2f%2ftracker.dler.org%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.altrosky.nl%3a6969%2fannounce&tr=udp%3a%2f%2fp4p.arenabg.com%3a1337%2fannounce&tr=udp%3a%2f%2fopen.demonii.com%3a1337%2fannounce&tr=udp%3a%2f%2fmovies.zsw.ca%3a6969%2fannounce&tr=udp%3a%2f%2fipv4.tracker.harry.lu%3a80%2fannounce&tr=udp%3a%2f%2ffe.dealclub.de%3a6969%2fannounce&tr=udp%3a%2f%2fexplodie.org%3a6969%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fbt1.archive.org%3a6969%2fannounce&tr=udp%3a%2f%2f6ahddutb1ucc3cp.ru%3a6969%2fannounce&tr=https%3a%2f%2ftracker.nanoha.org%3a443%2fannounce,,
CopeSeetheMald-200_20400.ckpt (samdoesart) [95f071f9],CopeSeetheMald-200_20400.ckpt (samdoesart) [95f071f9] (mega),"Another samdoesart dreambooth model.

204 images @ 20.4k steps
1e-6 learning rate
based on ""blossom mix""

Use copeseethemald style in prompt",Dreambooth,mega,https://mega.nz/folder/ZG0UnRBJ#jykESWBUCr7hjOoNVTXwLw,,
Black Souls bs_1500.ckpt [37ec0dc9],Black Souls bs_1500.ckpt [37ec0dc9] (torrent),"A dreambooth trained on game cg from a game called black souls
call forbs in the prompt
have vae off, ensure clip skip is set to 1, and set cfg to a low number (like 6)

Preview https://cdn.discordapp.com/attachments/1038283286046322819/1040125269761081444/grid-0000.png",Dreambooth,torrent,magnet:?xt=urn:btih:63e9c043838f7bca078fb9607873957d11a88e24&dn=bs_1500.ckpt&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2fopentracker.i2p.rocks%3a6969%2fannounce&tr=https%3a%2f%2fopentracker.i2p.rocks%3a443%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.pomf.se%3a80%2fannounce&tr=udp%3a%2f%2ftracker.dler.org%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.altrosky.nl%3a6969%2fannounce&tr=udp%3a%2f%2fp4p.arenabg.com%3a1337%2fannounce&tr=udp%3a%2f%2fopen.demonii.com%3a1337%2fannounce&tr=udp%3a%2f%2fmovies.zsw.ca%3a6969%2fannounce&tr=udp%3a%2f%2fipv4.tracker.harry.lu%3a80%2fannounce&tr=udp%3a%2f%2ffe.dealclub.de%3a6969%2fannounce&tr=udp%3a%2f%2fexplodie.org%3a6969%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fbt1.archive.org%3a6969%2fannounce&tr=udp%3a%2f%2f6ahddutb1ucc3cp.ru%3a6969%2fannounce&tr=https%3a%2f%2ftracker.nanoha.org%3a443%2fannounce,,
Black Souls bs_1500.ckpt [37ec0dc9],Black Souls bs_1500.ckpt [37ec0dc9] (mega),"A dreambooth trained on game cg from a game called black souls
call forbs in the prompt
have vae off, ensure clip skip is set to 1, and set cfg to a low number (like 6)

Preview https://cdn.discordapp.com/attachments/1038283286046322819/1040125269761081444/grid-0000.png",Dreambooth,mega,https://mega.nz/file/KkIgRY7a#VrKp_JwspTF4e05ApSy4hkJgGUcMKaXSbyB_COZ-o6k,,
jaggy92500.ckpt [93423a00],jaggy92500.ckpt [93423a00] (torrent),"Game screenshots.

Here are the terms to call: jaggy, then ps_game_screenshot, pc_game_screenshot, gamecube_game_screenshot, blood_and_gore, intense_violence, zotov_game_screenshot, eroge_game_screenshot, life_sim_game_screenshot, and/or alter_echo. This is in descending order of influence. There are a few others which are not effective enough to name, but can have strong effects at times. I won't mention them. You should put (cartoon) and maybe (menu) in the negative prompt.

Preview images: https://imgur.com/a/J4i1DiN",Dreambooth,torrent,magnet:?xt=urn:btih:71847b56518e6d7d92dfe24e95f2ee474807b197&dn=jaggy92500.ckpt&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2fopentracker.i2p.rocks%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=https%3a%2f%2fopentracker.i2p.rocks%3a443%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=http%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker1.bt.moack.co.kr%3a80%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.moeking.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.dler.org%3a6969%2fannounce&tr=udp%3a%2f%2fp4p.arenabg.com%3a1337%2fannounce&tr=udp%3a%2f%2fopen.demonii.com%3a1337%2fannounce&tr=udp%3a%2f%2fmovies.zsw.ca%3a6969%2fannounce&tr=udp%3a%2f%2fipv4.tracker.harry.lu%3a80%2fannounce&tr=udp%3a%2f%2fexplodie.org%3a6969%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=https%3a%2f%2ftracker.nanoha.org%3a443%2fannounce&tr=https%3a%2f%2ftracker.lilithraws.org%3a443%2fannounce&tr=https%3a%2f%2ftracker.cyber-hub.net%3a443%2fannounce,,
jaggy92500.ckpt [93423a00],jaggy92500.ckpt [93423a00] (mega),"Game screenshots.

Here are the terms to call: jaggy, then ps_game_screenshot, pc_game_screenshot, gamecube_game_screenshot, blood_and_gore, intense_violence, zotov_game_screenshot, eroge_game_screenshot, life_sim_game_screenshot, and/or alter_echo. This is in descending order of influence. There are a few others which are not effective enough to name, but can have strong effects at times. I won't mention them. You should put (cartoon) and maybe (menu) in the negative prompt.

Preview images: https://imgur.com/a/J4i1DiN",Dreambooth,mega,https://mega.nz/file/0SER2YpC#_MRc6p_sG9cSWqihpt33jpOWyMR8bCZrUaVkh4z5kGE,,
ykgl.ckpt (y2k cgi girls),ykgl.ckpt (y2k cgi girls) (mega),"It does cgi girls from the y2k era. Trained for 40k steps.
You call on them with (ykgl cgi_girl), or (ykgl cgi_girls), or just (ykgl girl), and then maybe with , cgi_artstyle.

Preview images https://imgur.com/a/r2aIcxo",Dreambooth,mega,https://mega.nz/file/hT0mgTqR#d8g133APl30UtDwsNmzV73_ZESi_kTa5pmQgJoxomn0,,
CSRmodel (cutesexyrobutts) [b77538cc],CSRmodel (cutesexyrobutts) [b77538cc] (torrent),"Dreambooth model based on cutesexyrobutts art style.
Preview https://i.imgur.com/VPNUae8.png",Dreambooth,torrent,magnet:?xt=urn:btih:46c46d2630043f9e47b0107b9680b5bd270263d7&dn=Systemy-CSRmodel.rar&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2fopentracker.i2p.rocks%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=https%3a%2f%2fopentracker.i2p.rocks%3a443%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=http%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker1.bt.moack.co.kr%3a80%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.moeking.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.dler.org%3a6969%2fannounce&tr=udp%3a%2f%2fp4p.arenabg.com%3a1337%2fannounce&tr=udp%3a%2f%2fopen.demonii.com%3a1337%2fannounce&tr=udp%3a%2f%2fmovies.zsw.ca%3a6969%2fannounce&tr=udp%3a%2f%2fipv4.tracker.harry.lu%3a80%2fannounce&tr=udp%3a%2f%2fexplodie.org%3a6969%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=https%3a%2f%2ftracker.nanoha.org%3a443%2fannounce&tr=https%3a%2f%2ftracker.lilithraws.org%3a443%2fannounce&tr=https%3a%2f%2ftracker.cyber-hub.net%3a443%2fannounce,,
CSRmodel (cutesexyrobutts) [b77538cc],CSRmodel (cutesexyrobutts) [b77538cc] (generate),"Dreambooth model based on cutesexyrobutts art style.
Preview https://i.imgur.com/VPNUae8.png",Dreambooth,generate,https://gofile.io/d/D1L69E,,
Pepestyle,Pepestyle (huggingface),"A Dreambooth model created with the sole purpose of generating the rarest and dankest pepes.
StableDiffusion 1.5 was used as a base for this model.
22 instance images, 400 class images, 2.2k steps at a 1.3e-6 learning rate.
Use the phrase pepestyle person

Repo https://huggingface.co/SpiteAnon/Pepestyle",Dreambooth,huggingface,https://huggingface.co/SpiteAnon/Pepestyle/resolve/main/pepestylev2_2200.ckpt,,
dbmai [e02601f3],dbmai [e02601f3] (torrent),"A dreambooth model from China.
Preview images https://imgur.com/a/fTDgBST
Info https://tieba.baidu.com/p/8136937175",Dreambooth,torrent,magnet:?xt=urn:btih:89ede059b4f90887b1f1ce10ba7a37e1d8a0c4b5&dn=dbmai.ckpt&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2fopen.tracker.cl%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=udp%3a%2f%2fopentracker.i2p.rocks%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=https%3a%2f%2fopentracker.i2p.rocks%3a443%2fannounce&tr=http%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.moeking.me%3a6969%2fannounce&tr=udp%3a%2f%2fp4p.arenabg.com%3a1337%2fannounce&tr=udp%3a%2f%2fopen.demonii.com%3a1337%2fannounce&tr=udp%3a%2f%2fmovies.zsw.ca%3a6969%2fannounce&tr=udp%3a%2f%2fipv4.tracker.harry.lu%3a80%2fannounce&tr=udp%3a%2f%2fexplodie.org%3a6969%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=https%3a%2f%2ftracker.nanoha.org%3a443%2fannounce&tr=https%3a%2f%2ftracker.lilithraws.org%3a443%2fannounce&tr=https%3a%2f%2ftracker.cyber-hub.net%3a443%2fannounce&tr=https%3a%2f%2ftr.burnabyhighstar.com%3a443%2fannounce,,
dbmai [e02601f3],dbmai [e02601f3] (gdrive),"A dreambooth model from China.
Preview images https://imgur.com/a/fTDgBST
Info https://tieba.baidu.com/p/8136937175",Dreambooth,gdrive,https://drive.google.com/drive/folders/1MUtM5MTXM35fid5TE3tUSKXAqPP7oysz,,
gigachad-diffusion,gigachad-diffusion (huggingface),"StableDiffusion v1.5 used. 20 instance images, 400 class images, 2.2k steps at a 1e-6 learning rate.
Token gigachad

Info & preview images: https://huggingface.co/SpiteAnon/gigachad-diffusion",Dreambooth,huggingface,https://huggingface.co/SpiteAnon/gigachad-diffusion/blob/main/gigachad_2000.ckpt,,
Complex-Lineart,Complex-Lineart (huggingface),"Trained on around 100 images at 768x768 resolution.
Use prompt: ComplexLA style
Use resolution near 768x768, lower resolution works but quality will not be as good.

Repo & preview images: https://huggingface.co/Conflictx/Complex-Lineart",Dreambooth,huggingface,https://huggingface.co/Conflictx/Complex-Lineart/resolve/main/ComplexLA%20Style.ckpt,,
