Model_Title,Model_Name,Model_Description,Model_Type,Model_Download_link_Type,Model_Download_link,VAE_Download_link_Type,VAE_Download_link
Arcane-Diffusion [318a302e],Arcane-Diffusion [318a302e] (huggingface),"This is the fine-tuned Stable Diffusion model trained on images from the TV Show Arcane.
Use the tokens arcane style in your prompts for the effect.
Repo https://huggingface.co/nitrosocke/Arcane-Diffusion
Check the repo for potential newer versions.",Dreambooth,huggingface,https://huggingface.co/nitrosocke/Arcane-Diffusion/resolve/main/arcane-diffusion-v3.ckpt,,
classic-anim-diffusion [be7ddafc],classic-anim-diffusion [be7ddafc] (huggingface),"This is the fine-tuned Stable Diffusion model trained on screenshots from a popular animation studio.
Use the tokens classic disney style in your prompts for the effect.
Repo https://huggingface.co/nitrosocke/classic-anim-diffusion
Check the repo for potential newer versions.",Dreambooth,huggingface,https://huggingface.co/nitrosocke/classic-anim-diffusion/resolve/main/classicAnim-v1.ckpt,,
bukkake [b4a14787],bukkake [b4a14787] (torrent),"bukkake_20_training_images_2020_max_training_steps_woman_class_word.ckpt
SD1.4 + Dreambooth

A good prompt to test is is ""portrait of bukkake woman, cute girl, sexy, beautiful girl, photograph, nikon d4, f/2.8, 70mm, topless""
Tip: Do NOT use face restore if you are trying to do txt2img to achieve any kind of realistic cum on a realistic face. Both currently available face restore models (GPFGAN and Codeformer) completely remove or ruin cum on face. Hopefully another coomer will come up with a new face restore model that ignores liquids on faces and still fixes the underlying face",Dreambooth,torrent,magnet:?xt=urn:btih:90df9e64cd31b686c858b9d50b54efafd6a96984&dn=bukkake_20_training_images_2020_max_training_steps_woman_class_word.ckpt&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=http%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2fvibe.sleepyinternetfun.xyz%3a1738%2fannounce&tr=udp%3a%2f%2ftracker2.dler.org%3a80%2fannounce&tr=udp%3a%2f%2ftracker1.bt.moack.co.kr%3a80%2fannounce&tr=udp%3a%2f%2ftracker.zerobytes.xyz%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.theoks.net%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.swateam.org.uk%3a2710%2fannounce&tr=udp%3a%2f%2ftracker.srv00.com%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.publictracker.xyz%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.monitorit4.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.moeking.me%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.lelux.fi%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.encrypted-data.xyz%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.army%3a6969%2fannounce,,
bukkake [b4a14787],bukkake [b4a14787] (mega),"bukkake_20_training_images_2020_max_training_steps_woman_class_word.ckpt
SD1.4 + Dreambooth

A good prompt to test is is ""portrait of bukkake woman, cute girl, sexy, beautiful girl, photograph, nikon d4, f/2.8, 70mm, topless""
Tip: Do NOT use face restore if you are trying to do txt2img to achieve any kind of realistic cum on a realistic face. Both currently available face restore models (GPFGAN and Codeformer) completely remove or ruin cum on face. Hopefully another coomer will come up with a new face restore model that ignores liquids on faces and still fixes the underlying face",Dreambooth,mega,https://mega.nz/file/olV0yDrR#-5ShWX92PP6r8wV6jHMHQjOmEGnq82xY6-J048GOf9s,,
DCAU [2fd6057b],DCAU [2fd6057b] (huggingface),"A model for the DC animated universe. Currently it has only been trained on Batman the Animated Series, but there are plans to include all the shows.
Repo (with samples) https://huggingface.co/IShallRiseAgain/DCAU
See the repo for potential newer versions.
Prompt is currently Batman_the_animated_series.",Dreambooth,huggingface,https://huggingface.co/IShallRiseAgain/DCAU/resolve/main/DCAUV1.ckpt,,
Raven anime.ckpt,Raven anime.ckpt (mega),"anime' model - A newer model. It is a bit undertrained for more flexibility. It can create more complicated images with greater stability, but with a stronger anime style.
Tag & classname require more emphasis / attention than the 'Western' model. Try (RavenRoth woman:1.2). It is a bit undertrained for more flexibility - may need to use 'grey skin' in the prompt. (RavenRoth woman:1.2) with grey skin.
Tag & classname: RavenRoth woman",Dreambooth,mega,https://mega.nz/folder/4KlHFQaL#NBqANoiG3E7mz3apn85Q0g,,
Raven Western.ckpt,Raven Western.ckpt (mega),"This is an earlier Dreambooth model I created. It has a style more true to the Teen Titans cartoon and Zone art.
I noticed how negative prompts can cause the model to shift away from a cartoon / Zone art style, so be careful with negative prompts if you find this.
A negative prompt of: 'lowres, (bad anatomy), bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, jpeg artifacts, >signature, watermark, username, blurry, artist name' works well.
I think the AI considers the thick line art style to be 'low quality' and for Raven to be 'deformed' or 'mutant', due to the grey skin.
Try lower CFG Scale (closer to 5) for more flexibility. You may even want to try [RavenRoth anime_girl]
Tag & classname: RavenRoth anime_girl",Dreambooth,mega,https://mega.nz/folder/4KlHFQaL#NBqANoiG3E7mz3apn85Q0g,,
oshinobu-pruned.ckpt,oshinobu-pruned.ckpt (torrent),"Dataset Size: 63 fanart images that resemble the anime character design (just 3 or 4 are NSFW)
Steps: 9450 (~6 epochs)
Base Model: Waifu Diffusion v1.3
Trigger Phrase (Identifier + Class): illustration of a oshinobu blonde_loli
Because of the training data used, generated images keep her typical round blush (most of times).
Now, I think I used an insane amount of steps and images, but when I trained this (one week ago) I had no idea what I was exactly doing.",Dreambooth,torrent,magnet:?xt=urn:btih:bd00f28f19715632b62eae8660cbffb14d606c20&dn=oshinobu-pruned.ckpt&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,,
henreader_final_pruned.ckpt [e5803978],henreader_final_pruned.ckpt [e5803978] (torrent),Trigger Phrase (Identifier + Class): sks henreader_db,Dreambooth,torrent,magnet:?xt=urn:btih:2ea2f859da0dd0b48d39f7296bee20434b40e92b&dn=henreader_final_pruned.ckpt&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,,
oshino_shinobu_final_pruned.ckpt,oshino_shinobu_final_pruned.ckpt (torrent),Trigger Phrase (Identifier + Class): photo of a sks oshino_shinobu_db,Dreambooth,torrent,magnet:?xt=urn:btih:ed81724913f0cf899c6eed4a896ff1480b243761&dn=oshino_shinobu_final_pruned.ckpt&tr=udp%3a%2f%2ftracker.moeking.me%3a6969%2fannounce&tr=udp%3a%2f%2fopentracker.i2p.rocks%3a6969%2fannounce&tr=udp%3a%2f%2fopen.demonii.com%3a1337%2fannounce&tr=udp%3a%2f%2fexodus.desync.com%3a6969%2fannounce&tr=udp%3a%2f%2fmovies.zsw.ca%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.dler.org%3a6969%2fannounce&tr=udp%3a%2f%2fipv4.tracker.harry.lu%3a80%2fannounce&tr=https%3a%2f%2fopentracker.i2p.rocks%3a443%2fannounce&tr=udp%3a%2f%2fexplodie.org%3a6969%2fannounce&tr=udp%3a%2f%2fopen.stealth.si%3a80%2fannounce&tr=udp%3a%2f%2fp4p.arenabg.com%3a1337%2fannounce&tr=udp%3a%2f%2ftracker.tiny-vps.com%3a6969%2fannounce&tr=udp%3a%2f%2fpublic.tracker.vraphim.com%3a6969%2fannounce&tr=udp%3a%2f%2f9.rarbg.com%3a2810%2fannounce&tr=udp%3a%2f%2ftracker2.dler.org%3a80%2fannounce&tr=udp%3a%2f%2ftracker.torrent.eu.org%3a451%2fannounce&tr=udp%3a%2f%2ffe.dealclub.de%3a6969%2fannounce&tr=udp%3a%2f%2ftracker.openbittorrent.com%3a6969%2fannounce&tr=http%3a%2f%2ftracker.openbittorrent.com%3a80%2fannounce&tr=udp%3a%2f%2ftracker.opentrackr.org%3a1337%2fannounce,,
